ZipCode,City,County,TotalPopulation,MedianSFPrice,PctNonLatinxWhite
01431,Ashby,Middlesex,3195,271400,94.9
01432,Ayer,Middlesex,7703,354700,80
01450,Groton,Middlesex,11282,497500,92.5
01460,Littleton,Middlesex,9754,479900,89
01463,Pepperell,Middlesex,12049,359400,91.8
01464,Shirley,Middlesex,7572,347100,68.4
01469,Townsend,Middlesex,7454,298200,93.8
01474,Townsend,Middlesex,1964,293600,93.2
01701,Framingham,Middlesex,32098,466200,79.4
01720,Acton,Middlesex,22680,629000,69.7
01730,Bedford,Middlesex,14031,708300,76.7
01741,Carlisle,Middlesex,5160,815300,84
01742,Concord,Middlesex,19383,971000,81.6
01746,Holliston,Middlesex,14480,460400,89
01748,Hopkinton,Middlesex,16720,632600,87.2
01749,Hudson,Middlesex,19843,386400,87.5
01752,Marlborough,Middlesex,39771,387600,73
01754,Maynard,Middlesex,10560,399600,88.6
01760,Natick,Middlesex,35715,618300,80.1
01770,Sherborn,Middlesex,4302,806300,89.4
01773,Lincoln,Middlesex,4791,1189300,77.6
01775,Stow,Middlesex,7061,528000,91
01776,Sudbury,Middlesex,18697,733600,84.7
01778,Wayland,Middlesex,13850,743700,82.7
01801,Woburn,Middlesex,40375,504700,80.4
01803,Burlington,Middlesex,26103,585400,74.5
01810,Andover,Essex,35375,673200,79.4
01821,Billerica,Middlesex,32348,451000,86.6
01824,Chelmsford,Middlesex,25961,458600,85.2
01826,Dracut,Middlesex,30948,361800,83.4
01827,Dunstable,Middlesex,3337,499300,92.7
01830,Haverhill,Essex,26524,351900,72.2
01832,Haverhill,Essex,23372,352700,68.2
01833,Georgetown,Essex,8569,485000,93
01835,Haverhill,Essex,13047,366400,83.6
01841,Lawrence,Essex,48295,279100,12
01843,Lawrence,Essex,25942,305100,23.4
01844,Methuen,Essex,49587,372400,65
01845,North Andover,Essex,30170,598000,82.8
01850,Lowell,Middlesex,16890,283500,54.5
01851,Lowell,Middlesex,29849,315600,38.5
01852,Lowell,Middlesex,34756,336300,56.5
01854,Lowell,Middlesex,29561,329300,48
01860,Merrimac,Essex,6752,410800,96.3
01862,Billerica,Middlesex,10676,439100,78.2
01863,Chelmsford,Middlesex,9106,403100,83.8
01864,North Reading,Middlesex,15598,563400,90.1
01867,Reading,Middlesex,24894,616300,92.2
01876,Tewksbury,Middlesex,30433,442000,91.2
01879,Tyngsboro,Middlesex,12305,428300,84.7
01880,Wakefield,Middlesex,26450,557900,91.8
01886,Westford,Middlesex,24087,572600,78.4
01887,Wilmington,Middlesex,23538,523200,88.9
01890,Winchester,Middlesex,22579,1142500,82.2
01902,Lynn,Essex,48218,347800,29.7
01904,Lynn,Essex,17320,397200,67.3
01905,Lynn,Essex,25590,358700,33.2
01906,Saugus,Essex,28037,461900,86.3
01907,Swampscott,Essex,14758,572800,91.9
01908,Nahant,Essex,3488,660400,96.6
01913,Amesbury,Essex,17218,387400,92.8
01915,Beverly,Essex,41431,490700,91.6
01921,Boxford,Essex,8228,670700,90.4
01922,Newbury,Essex,2812,520600,96.3
01923,Danvers,Essex,27391,493800,90.7
01930,Gloucester,Essex,29858,482300,94.6
01938,Ipswich,Essex,13810,566500,94.6
01940,Lynnfield,Essex,13425,677800,90.6
01944,Manchester,Essex,5327,920000,97.2
01945,Marblehead,Essex,20393,715800,92.7
01949,Middleton,Essex,9656,641600,86.1
01950,Newburyport,Essex,17890,591100,92.8
01951,Newbury,Essex,4152,567400,94.8
01952,Salisbury,Essex,9035,378900,92.8
01960,Peabody,Essex,52313,465400,84.3
01966,Rockport,Essex,7184,610100,95.9
01969,Rowley,Essex,6232,528100,96.9
01970,Salem,Essex,42991,437400,71.8
01982,Hamilton,Essex,7991,572400,91.5
01983,Topsfield,Essex,6496,617900,95.4
01984,Wenham,Essex,5179,634000,89.7
01985,West Newbury,Essex,4545,585100,97.4
02019,Bellingham,Norfolk,16929,333900,91.6
02021,Canton,Norfolk,22829,614000,80.3
02025,Cohasset,Norfolk,8393,884700,97.7
02026,Dedham,Norfolk,25362,520700,78.5
02030,Dover,Norfolk,5922,1173200,82.9
02032,Walpole,Norfolk,4410,527200,83.2
02035,Foxborough,Norfolk,17448,447600,87.7
02038,Franklin,Norfolk,32843,462500,89
02052,Medfield,Norfolk,12610,665800,90.8
02053,Medway,Norfolk,13162,445500,89.4
02054,Millis,Norfolk,8144,422900,92.7
02056,Norfolk,Norfolk,11388,533400,85.4
02062,Norwood,Norfolk,29121,490000,79
02067,Sharon,Norfolk,18148,568400,75.5
02072,Stoughton,Norfolk,28338,396100,72.8
02081,Walpole,Norfolk,19358,526700,89.2
02090,Westwood,Norfolk,15612,739900,88.2
02093,Wrentham,Norfolk,11597,482900,94.1
02110,Boston,Suffolk,2270,789800,82.4
02111,Boston,Suffolk,7452,694800,39.2
02116,Boston,Suffolk,23215,1919400,71.4
02118,Boston,Suffolk,27325,1788600,47.6
02119,Boston,Suffolk,28152,524300,10.3
02120,Boston,Suffolk,15719,680500,37.2
02121,Boston,Suffolk,28479,482100,2.6
02122,Boston,Suffolk,24643,579500,33.3
02124,Boston,Suffolk,55074,568600,16.4
02125,Boston,Suffolk,35254,614900,29.5
02126,Boston,Suffolk,29141,413000,4.2
02127,Boston,Suffolk,37257,788800,77
02128,Boston,Suffolk,46655,558600,32.6
02129,Boston,Suffolk,18901,868800,73.2
02130,Boston,Suffolk,39435,853900,56.8
02131,Boston,Suffolk,32819,596700,48.9
02132,Boston,Suffolk,28505,630400,77.8
02134,Boston,Suffolk,18057,779100,53.8
02135,Boston,Suffolk,42644,715000,65.5
02136,Boston,Suffolk,33084,452900,25.1
02138,Cambridge,Middlesex,37668,2200600,67
02139,Cambridge,Middlesex,36979,1417000,61.1
02140,Cambridge,Middlesex,19737,1244000,56.1
02141,Cambridge,Middlesex,13664,1023400,57.1
02143,Somerville,Middlesex,26773,962700,72.4
02144,Somerville,Middlesex,24682,1184200,82.3
02145,Somerville,Middlesex,26430,723800,58.3
02148,Malden,Middlesex,61375,494000,46.5
02149,Everett,Middlesex,44993,450900,46.1
02150,Chelsea,Suffolk,39263,447600,22
02151,Revere,Suffolk,53873,445800,56.2
02152,Winthrop,Suffolk,18391,517600,85.7
02155,Medford,Middlesex,59779,642500,73
02169,Quincy,Norfolk,56541,478500,63.1
02170,Quincy,Norfolk,19434,542700,57.9
02171,Quincy,Norfolk,17849,535200,54.8
02176,Melrose,Middlesex,28132,651900,85.3
02180,Stoneham,Middlesex,21967,576500,90.9
02184,Braintree,Norfolk,37082,524400,81.2
02186,Milton,Norfolk,27527,696500,71.9
02188,Weymouth,Norfolk,15301,415000,76.1
02189,Weymouth,Norfolk,15146,403100,85.9
02190,Weymouth,Norfolk,17415,446200,86.2
02191,Weymouth,Norfolk,8028,396600,89.9
02322,Avon,Norfolk,4468,342500,71.4
02343,Holbrook,Norfolk,10753,340800,77.2
02368,Randolph,Norfolk,33980,375700,35.9
02420,Lexington,Middlesex,14579,1088500,66.3
02421,Lexington,Middlesex,18760,1082000,67.6
02445,Brookline,Norfolk,20774,2122600,72.7
02446,Brookline,Norfolk,30113,1987800,70.4
02451,Waltham,Middlesex,18646,587500,68.7
02452,Waltham,Middlesex,15470,650900,69.9
02453,Waltham,Middlesex,28696,617100,61.2
02458,Newton,Middlesex,12465,1228500,75.8
02459,Newton,Middlesex,19473,1334700,72.9
02460,Newton,Middlesex,9911,1061500,75.1
02461,Newton,Middlesex,7214,1060900,71.4
02464,Newton,Middlesex,3155,823500,66.7
02465,Newton,Middlesex,12112,986200,73.1
02466,Newton,Middlesex,8568,1012500,74.1
02467,Brookline,Norfolk,22105,1359900,70.3
02468,Newton,Middlesex,5568,1481400,78.5
02472,Watertown,Middlesex,34715,689700,77.7
02474,Arlington,Middlesex,28028,795600,76.8
02476,Arlington,Middlesex,16964,817200,81
02478,Belmont,Middlesex,25940,1145000,75.5
02481,Wellesley,Norfolk,16309,1374500,80.3
02482,Wellesley,Norfolk,11015,1190300,78.6
02492,Needham,Norfolk,20128,968400,87.6
02493,Weston,Middlesex,12027,1536800,79.7
02494,Needham,Norfolk,10301,871300,78.1
02762,Plainville,Norfolk,9000,387000,95.3
