ZipCode,City,County,TotalPopulation,PricePerSqFt,PctNonLatinxWhite
01431,Ashby,Middlesex,3195,161,94.9
01432,Ayer,Middlesex,7703,213,80
01450,Groton,Middlesex,11282,219,92.5
01460,Littleton,Middlesex,9754,252,89
01463,Pepperell,Middlesex,12049,182,91.8
01464,Shirley,Middlesex,7572,173,68.4
01469,Townsend,Middlesex,7454,160,93.8
01474,Townsend,Middlesex,1964,155,93.2
01701,Framingham,Middlesex,32098,286,79.4
01720,Acton,Middlesex,22680,274,69.7
01730,Bedford,Middlesex,14031,375,76.7
01741,Carlisle,Middlesex,5160,282,84
01742,Concord,Middlesex,19383,404,81.6
01746,Holliston,Middlesex,14480,255,89
01748,Hopkinton,Middlesex,16720,257,87.2
01749,Hudson,Middlesex,19843,237,87.5
01752,Marlborough,Middlesex,39771,229,73
01754,Maynard,Middlesex,10560,248,88.6
01760,Natick,Middlesex,35715,340,80.1
01770,Sherborn,Middlesex,4302,273,89.4
01773,Lincoln,Middlesex,4791,369,77.6
01775,Stow,Middlesex,7061,243,91
01776,Sudbury,Middlesex,18697,301,84.7
01778,Wayland,Middlesex,13850,357,82.7
01801,Woburn,Middlesex,40375,341,80.4
01803,Burlington,Middlesex,26103,326,74.5
01810,Andover,Essex,35375,263,79.4
01821,Billerica,Middlesex,32348,256,86.6
01824,Chelmsford,Middlesex,25961,262,85.2
01826,Dracut,Middlesex,30948,219,83.4
01827,Dunstable,Middlesex,3337,202,92.7
01830,Haverhill,Essex,26524,191,72.2
01832,Haverhill,Essex,23372,194,68.2
01833,Georgetown,Essex,8569,246,93
01835,Haverhill,Essex,13047,198,83.6
01841,Lawrence,Essex,48295,181,12
01843,Lawrence,Essex,25942,221,23.4
01844,Methuen,Essex,49587,206,65
01845,North Andover,Essex,30170,256,82.8
01850,Lowell,Middlesex,16890,185,54.5
01851,Lowell,Middlesex,29849,194,38.5
01852,Lowell,Middlesex,34756,201,56.5
01854,Lowell,Middlesex,29561,199,48
01860,Merrimac,Essex,6752,215,96.3
01862,Billerica,Middlesex,10676,241,78.2
01863,Chelmsford,Middlesex,9106,250,83.8
01864,North Reading,Middlesex,15598,298,90.1
01867,Reading,Middlesex,24894,319,92.2
01876,Tewksbury,Middlesex,30433,278,91.2
01879,Tyngsboro,Middlesex,12305,201,84.7
01880,Wakefield,Middlesex,26450,309,91.8
01886,Westford,Middlesex,24087,272,78.4
01887,Wilmington,Middlesex,23538,314,88.9
01890,Winchester,Middlesex,22579,435,82.2
01902,Lynn,Essex,48218,259,29.7
01904,Lynn,Essex,17320,278,67.3
01905,Lynn,Essex,25590,271,33.2
01906,Saugus,Essex,28037,289,86.3
01907,Swampscott,Essex,14758,292,91.9
01908,Nahant,Essex,3488,346,96.6
01913,Amesbury,Essex,17218,226,92.8
01915,Beverly,Essex,41431,283,91.6
01921,Boxford,Essex,8228,254,90.4
01922,Newbury,Essex,2812,241,96.3
01923,Danvers,Essex,27391,264,90.7
01930,Gloucester,Essex,29858,326,94.6
01938,Ipswich,Essex,13810,275,94.6
01940,Lynnfield,Essex,13425,283,90.6
01944,Manchester,Essex,5327,361,97.2
01945,Marblehead,Essex,20393,357,92.7
01949,Middleton,Essex,9656,287,86.1
01950,Newburyport,Essex,17890,343,92.8
