City,Metro,County,SizeRank,Price
Boston,Boston-Cambridge-Newton,Suffolk County,26,601300
Worcester,Worcester,Worcester County,154,251800
Springfield,Springfield,Hampden County,195,162900
Lowell,Boston-Cambridge-Newton,Middlesex County,330,319500
Cambridge,Boston-Cambridge-Newton,Middlesex County,337,1592600
Brockton,Boston-Cambridge-Newton,Plymouth County,417,300900
New Bedford,Providence-Warwick,Bristol County,438,242600
Lynn,Boston-Cambridge-Newton,Essex County,453,368400
Newton,Boston-Cambridge-Newton,Middlesex County,472,1203500
Fall River,Providence-Warwick,Bristol County,482,261900
Quincy,Boston-Cambridge-Newton,Norfolk County,535,517300
Lawrence,Boston-Cambridge-Newton,Essex County,577,296000
Somerville,Boston-Cambridge-Newton,Middlesex County,583,901400
Framingham,Boston-Cambridge-Newton,Middlesex County,682,461500
Waltham,Boston-Cambridge-Newton,Middlesex County,786,616200
Haverhill,Boston-Cambridge-Newton,Essex County,790,355000
Malden,Boston-Cambridge-Newton,Middlesex County,823,494100
Brookline,Boston-Cambridge-Newton,Norfolk County,845,1891300
Medford,Boston-Cambridge-Newton,Middlesex County,865,642500
Taunton,Providence-Warwick,Bristol County,897,316800
Chicopee,Springfield,Hampden County,901,188300
Weymouth,Boston-Cambridge-Newton,Norfolk County,921,418300
Peabody,Boston-Cambridge-Newton,Essex County,997,465800
Plymouth,Boston-Cambridge-Newton,Plymouth County,1038,371100
Revere,Boston-Cambridge-Newton,Suffolk County,1055,445700
Methuen,Boston-Cambridge-Newton,Essex County,1065,372200
Everett,Boston-Cambridge-Newton,Middlesex County,1176,450900
Arlington,Boston-Cambridge-Newton,Middlesex County,1177,808000
Barnstable,Barnstable Town,Barnstable County,1182,395400
Attleboro,Providence-Warwick,Bristol County,1197,324300
Pittsfield,Pittsfield,Berkshire County,1209,165900
Billerica,Boston-Cambridge-Newton,Middlesex County,1253,448300
Westfield,Springfield,Hampden County,1274,254000
Fitchburg,Worcester,Worcester County,1291,219400
Leominster,Worcester,Worcester County,1294,284900
Holyoke,Springfield,Hampden County,1314,209600
Salem,Boston-Cambridge-Newton,Essex County,1317,436900
Amherst,Springfield,Hampshire County,1337,374700
Marlborough,Boston-Cambridge-Newton,Middlesex County,1344,387500
Woburn,Boston-Cambridge-Newton,Middlesex County,1362,504800
Chelsea,Boston-Cambridge-Newton,Suffolk County,1397,449300
Braintree,Boston-Cambridge-Newton,Norfolk County,1436,523200
Beverly,Boston-Cambridge-Newton,Essex County,1448,491400
Shrewsbury,Worcester,Worcester County,1453,453700
Natick,Boston-Cambridge-Newton,Middlesex County,1501,619800
Andover,Boston-Cambridge-Newton,Essex County,1514,673100
Chelmsford,Boston-Cambridge-Newton,Middlesex County,1516,444500
Dartmouth,Providence-Warwick,Bristol County,1548,371200
Randolph,Boston-Cambridge-Newton,Norfolk County,1560,375600
Watertown,Boston-Cambridge-Newton,Middlesex County,1564,690000
Lexington,Boston-Cambridge-Newton,Middlesex County,1610,1084800
Franklin,Boston-Cambridge-Newton,Norfolk County,1623,461700
Dracut,Boston-Cambridge-Newton,Middlesex County,1724,361400
North Andover,Boston-Cambridge-Newton,Essex County,1755,598500
Tewksbury,Boston-Cambridge-Newton,Middlesex County,1758,442000
Needham,Boston-Cambridge-Newton,Norfolk County,1767,945400
Norwood,Boston-Cambridge-Newton,Norfolk County,1848,490100
North Attleboro,Providence-Warwick,Bristol County,1869,388600
West Springfield,Springfield,Hampden County,1871,229000
Wellesley,Boston-Cambridge-Newton,Norfolk County,1872,1307500
Agawam,Springfield,Hampden County,1891,235900
Saugus,Boston-Cambridge-Newton,Essex County,1899,462100
Milford,Worcester,Worcester County,1912,359400
Northampton,Springfield,Hampshire County,1923,333300
Stoughton,Boston-Cambridge-Newton,Norfolk County,1925,396100
Milton,Boston-Cambridge-Newton,Norfolk County,1976,696500
Danvers,Boston-Cambridge-Newton,Essex County,1983,493400
Bridgewater,Boston-Cambridge-Newton,Plymouth County,1984,412800
Melrose,Boston-Cambridge-Newton,Middlesex County,1988,652200
Gloucester,Boston-Cambridge-Newton,Essex County,2001,481300
Wakefield,Boston-Cambridge-Newton,Middlesex County,2068,557900
Reading,Boston-Cambridge-Newton,Middlesex County,2140,616300
Burlington,Boston-Cambridge-Newton,Middlesex County,2154,584800
Belmont,Boston-Cambridge-Newton,Middlesex County,2178,1145300
Walpole,Boston-Cambridge-Newton,Norfolk County,2189,527000
Dedham,Boston-Cambridge-Newton,Norfolk County,2200,520700
Middleborough,Boston-Cambridge-Newton,Plymouth County,2288,346400
Easton,Providence-Warwick,Bristol County,2312,461000
Westford,Boston-Cambridge-Newton,Middlesex County,2315,572200
Mansfield,Providence-Warwick,Bristol County,2326,479900
Yarmouth,Barnstable Town,Barnstable County,2330,345100
Acton,Boston-Cambridge-Newton,Middlesex County,2360,628900
Wilmington,Boston-Cambridge-Newton,Middlesex County,2379,523300
Marshfield,Boston-Cambridge-Newton,Plymouth County,2391,465700
Winchester,Boston-Cambridge-Newton,Middlesex County,2403,1142300
Canton,Boston-Cambridge-Newton,Norfolk County,2410,611300
Hingham,Boston-Cambridge-Newton,Plymouth County,2465,844600
Stoneham,Boston-Cambridge-Newton,Middlesex County,2498,576500
Wareham,Boston-Cambridge-Newton,Plymouth County,2539,278600
Ludlow,Springfield,Hampden County,2559,226100
Gardner,Worcester,Worcester County,2707,202600
Hudson,Boston-Cambridge-Newton,Middlesex County,2739,386900
Concord,Boston-Cambridge-Newton,Middlesex County,2749,972200
East Falmouth,Barnstable Town,Barnstable County,2773,373100
Bourne,Barnstable Town,Barnstable County,2775,411700
Somerset,Providence-Warwick,Bristol County,2822,286600
Westborough,Worcester,Worcester County,2912,525000
Sudbury,Boston-Cambridge-Newton,Middlesex County,2914,733400
Holden,Worcester,Worcester County,2968,327100
Grafton,Worcester,Worcester County,2969,400800
Pembroke,Boston-Cambridge-Newton,Plymouth County,2979,413100
Winthrop,Boston-Cambridge-Newton,Suffolk County,2983,517600
Sharon,Boston-Cambridge-Newton,Norfolk County,2984,568000
South Hadley,Springfield,Hampshire County,3004,245800
Newburyport,Boston-Cambridge-Newton,Essex County,3026,591500
Rockland,Boston-Cambridge-Newton,Plymouth County,3049,354500
Greenfield,Greenfield Town,Franklin County,3065,197700
Foxborough,Boston-Cambridge-Newton,Norfolk County,3086,447600
Amesbury,Boston-Cambridge-Newton,Essex County,3148,387000
